 			PIE	Tagalog	PIE
1	I	ahau,au	aicha	akó	ego
2	you	koe	kyo	ikáw, ka; kayó (formal)	kyou
3	he	ia	hia	siyá	she, su
4	we	maaua,maatou,taaua,taatou	man	táyo (inclusive), kamí (exclusive)	common, mir
5	you	koutou	kyou-two	kayó	kyou
6	they	raatou		silá	sey.leur
7	this	teenei	den	itó	it
8	that	teenaa,teeraa	der	iyán (far from speaker but close to person spoken to); iyón (far from both speaker and person spoken to)	
9	here	konei		díto	dato
10	there	konaa,koraa		diyán (far from speaker but close to person spoken to); doón (far from both speaker and person spoken to)	
11	who	wai	wha	síno (interrogative)	
12	what	aha		anó (interrogative)	
13	where	hea		saán, nasaán (interrogative)	
14	when	ahea,noohea		kailán, kélan (interrogative)	
15	how	peehea		paano (interrogative)	phoon
16	not	kaaore,kiihai		hindî	hnoti
17	all	katoa	kalleto	lahát	allet
18	many	maha	macha	marámi	macha
19	some	eetahi	etwain	ilán, iilán	1?
20	few	ruarua,torutoru	rare, ___	kauntî, kontì	counted
21	other	eetahi,atu	oethei, athur	ibá	abba = allo
22	one	kotahi		isá, uno	erst
23	two	rua	er	dalawá, dos	dual
24	three	toru	thrue	tatló, tres	third, talath
25	four	whaa	vhoa	ápat, kuwatro	a'phort
26	five	rima	<>	limá, singko	?
27	big	nui,rahi		malakí	ma.long me'ga
28	long	roa		mahabà	ma.hebe ≠ erhoben
29	wide	whaanui		malapad	ma.leap
30	thick	maatotoru		makapál	
31	heavy	taimaha,taumaha		mabigát	ma.big
32	small	iti,riki,paku		maliít, muntî, pandák (person)	ma.lütt, pentuki=mouse
33	short	poto		maiklî, maigsî	mai.klein
34	narrow	whaaiti		makitid	ma.cut
35	thin	huuai,huuoi		manipís (object), payát (usu. of person)	
36	woman	wahine		babae	babe;)
37	man	taane		lalaki	lao lakai
38	Man	tangata		tao	
39	child	tamaiti		anák, batà (kid)	
40	wife	hoawahine		asawa, maybahay	
41	husband	hoataane		asawa	
42	mother	whaea		iná, nanay	nanni
43	father	matua		amá, tatay	daddy
44	animal	kararehe,kiirehe		hayop	
45	fish	ika		isdâ	fishda
46	bird	manu		ibon	--
47	dog	kurii		aso	!
48	louse	kutu		kuto	kit-louse
49	snake	mokongata,neeke(EN)		ahas, sawá	nahas, serpa
50	worm	noke,toke		uod, bulati	wound, bent
51	tree	raakau		punò, punongkahoy	pine
52	forest	ngahere,wao		gubat	<> cypress
53	stick	raakau		patpat	beat-bat
54	fruit	hua,huaraakau		prutas, bungang-kahoy, bunga	phrutas +++
55	seed	kaakano,pata,purapura		binhî, butó, punlâ	bhruto, pluma
56	leaf	rau		dahon	
57	root	aka		ugát	
58	bark	kiri		balát, bakbák	
59	flower	pua,puaawai		bulaklák	
60	grass	karaihe(EN),taru		damó	
61	rope	taura		lubid, talì	tie, tail, Seil 𓎀 < 𓎛
62	skin	hiako,kiri		balát, kutis	bhlesh, cutis
63	meat	kiko,miiti(EN)		karne, laman	carne
64	blood	toto		dugô	
65	bone	koiwi,iwi,wheua		butó, tiník (fishbones)	pode 𓃀 ~ 𓂾 bone (Bein)
66	fat	hinu,ngako		tabâ	bhât
67	egg	hua,huamanu,heeki		itlog	out.leg?
68	horn	pihi,tara,maire		súngay	--
69	tail	hiku,waero		buntót	
70	feather	huru,huruhuru		balahíbo	bara, plume
71	hair	huruhuru,makawe		buhók	
72	head	maahunga,maatenga,upoko		úlo	
73	ear	taringa		taingá, tenga	tenga <> 听 ting! sense 
74	eye	kanohi,karu,mata,whatu		matá	𓌻 𓂋 𓏏 𓏮 𓁹 𓁹
75	nose	ihu		ilóng	long;)
76	mouth	waha		bibíg, bungangà	pu
77	tooth	niho		ngipin	nager?
78	tongue	arero		dilà	
79	fingernail	kuku,maikuku		kukó	√ker
80	foot	wae,waewae		paá	pode 𓃀 ~ 𓂾 bone (Bein)
